Zoning Authority,Project Status,Developer Name,Project Type,Project Name ,Project End Date,Escrow Agent Name ,No:of buildings,Project Status,Project Start Date,Master Project,No:of Units,No:of Villas,Area Name ,Percent Completed
Licenses,PENDING,Nakheel Company (P.S.C.),buildings,Wellington Ocean Walk,31-12-2025,Mashreq Bank (Public Joint Stock Company),1,Under registration,16-09-2025,Palm Deira,79,0,Palm Deira,
Dubai South,ACTIVE,Emaar Dubai South DWC LLC,buildings,Gulf Point,31-10-2028,Dubai Islamic Bank (Public Joint Stock Company),2,effective,07-12-2024,Dubai World Central,590,0,Madinat Al Mataar,
Dubai Municipality,FINISHED,Shoba LLC,buildings,Shoppa Creek Vistas,17-01-2022,Dubai Islamic Bank (Public Joint Stock Company),3,success,16-08-2018,SOBHA HARTLAND,784,0,Al Merkadh,
Dubai Municipality,FINISHED,Nakheel Company (P.S.C.),buildings,Reef Tower,04-02-2009,#VALUE!,1,success,05-05-2008,Jumeirah Lakes Towers,121,0,Al Thanyah Fifth,
Licenses,FINISHED,Al Farjan (LLC),buildings,Dear Shaista Residence,17-03-2021,Abu Dhabi Commercial Bank,1,success,14-08-2016,Al Furjan,297,0,Jabal Ali First,
Licenses,FINISHED,Nakheel Company (P.S.C.),buildings,Emirates Park 2 - Magnolia,23-01-2012,#VALUE!,2,success,09-02-2008,Jumeirah Village Circle,197,0,Al Barsha South Fourth,
Dubai Municipality,ACTIVE,Emaar Properties (P.S.C.),buildings,Marina Living,30-06-2025,National Bank of Fujairah PJSC,1,effective,15-01-2023,Dubai Marina,205,0,Marsa Dubai,
Licenses,PENDING,Nakheel Company (P.S.C.),villas,D Palm Jebel Ali - The Beach & Coral Collection - The Palm,05-12-2028,Abu Dhabi Islamic Bank,0,Under registration,05-12-2025,Palm Jabal Ali,0,0,Palm Jabal Ali,
Dubai Development Authority,FINISHED,Business Bay (LLC),buildings,House of the East,29-08-2023,Abu Dhabi Commercial Bank,1,success,26-01-2009,Business Bay,266,0,Business Bay,
Dubai Municipality,FINISHED,Midan Group (LLC),buildings,"Mohammed Bin Rashid Al Maktoum City, District 1, Phase 3, Residences 29",30-05-2023,Dubai Islamic Bank (Public Joint Stock Company),1,success,01-10-2021,Mohammed Bin Rashid AL Maktoum City -District -1 Community,31,0,Al Merkadh,
Licenses,FINISHED,Jumeirah Islands Company (LLC),villas,Townhouses in Jumeirah Islands,26-09-2016,Mashreq Bank (Public Joint Stock Company),1,success,17-09-2013,Jumeirah Islands,0,0,Al Thanyah Fifth,
Dubai Development Authority,FINISHED,"Nashama Real Estate, owned by Nashmi Development, a single-person company LLC.",Villa complex,Rim Town House,30-11-2023,First Abu Dhabi Bank PJSC,0,success,01-01-2022,TOWN SQUARE,0,364,Al Yelayiss 2,
Licenses,FINISHED,Jumeirah Village (LLC),buildings,Fortunato,14-12-2014,Dubai Islamic Bank (Public Joint Stock Company),1,success,19-02-2008,Jumeirah Village Circle,326,0,Al Barsha South Fourth,
Licenses,NOT_STARTED,Nakheel Company (P.S.C.),buildings,Jozel Towers,25-12-2027,Emirates NBD Bank (P.S.C.),2,under construction,01-12-2024,Jumeirah Village Triangle,522,0,Al Barsha South Fifth,
Licenses,ACTIVE,Nakheel Company (P.S.C.),buildings,Ocean Pearl 2 by SD,31-03-2027,Commercial Bank of Dubai (P.S.C.),2,effective,12-01-2024,Palm Deira,96,0,Palm Deira,
Dubai Development Authority,FINISHED,Damac Crescent Properties (LLC),villas,Damac Hills - Park Residence 4,31-01-2023,Abu Dhabi Commercial Bank,0,success,22-10-2017,DAMAC HILLS,0,29,Al Hebiah Third,
Dubai Development Authority,ACTIVE,Dubai Land (LLC),buildings,Living Legends Stage 6,16-07-2026,Sharjah Islamic Bank,3,effective,01-08-2023,Living Legends,648,0,Wadi Al Safa 3,
Dubai Development Authority,ACTIVE,Damac Crescent Properties (LLC),buildings,Damac Hills - Golf Greens 2,,Abu Dhabi Commercial Bank,2,effective,28-12-2023,DAMAC HILLS,606,0,Al Hebiah Third,
Dubai Development Authority,ACTIVE,Culture Village (LLC),buildings,Creek Views,,Emirates Islamic Bank Public Joint Stock Company,1,effective,15-05-2024,Jaddaf Waterfront,108,0,Al Jadaf,
Licenses,FINISHED,Nakheel Company (P.S.C.),buildings,Indigoville 4,27-12-2012,Mashreq Bank (Public Joint Stock Company),0,success,25-10-2009,Jumeirah Village Circle,0,12,Al Barsha South Fourth,
Dubai Development Authority,ACTIVE,Dubai Properties (LLC),buildings,Elano from Euro24,01-10-2025,Mashreq Bank (Public Joint Stock Company),1,effective,01-04-2023,Arjan,339,0,Al Barshaa South Third,
Dubai Municipality,FINISHED,Midan Group (LLC),buildings,"Mohammed Bin Rashid Al Maktoum City, District 1, Phase 3, Residences 8",30-12-2023,Dubai Islamic Bank (Public Joint Stock Company),1,success,15-03-2021,Mohammed Bin Rashid AL Maktoum City -District -1 Community,73,0,Al Merkadh,
Licenses,FINISHED,Mina Rashid Real Estate LLC,buildings,Seagate,30-09-2025,Dubai Islamic Bank (Public Joint Stock Company),5,success,01-09-2019,Mina Rashid,302,0,Madinat Dubai Almelaheyah,
Licenses,NOT_STARTED,Al Nakheelah - Deera (LLC),buildings,Villa Del Javi Residences,25-12-2027,Bank of Sharjah,1,under construction,07-09-2025,Palm Deira,87,0,Palm Deira,
Dubai Municipality,ACTIVE,Medan City Foundation,Villa complex,Fields in D11 - MPRMC,31-05-2023,Bank of Sharjah,0,effective,01-12-2014,Mohammed Bin Rashid AL Maktoum District 11,0,1028,Wadi Al Safa 3,
Licenses,ACTIVE,Nakheel Company (P.S.C.),Villa complex,Zaia Zuha Island,30-06-2025,Commercial Bank of Dubai (P.S.C.),0,effective,01-03-2023,The World,0,27,World Islands,
Dubai Development Authority,FINISHED,Dubai Land (LLC),buildings,The wilderness,27-02-2012,Commercial Bank of Dubai (P.S.C.),0,success,22-04-2007,Al Barari,0,0,Wadi Al Safa 3,
Licenses,ACTIVE,Nakheel Company (P.S.C.),buildings,Ocean Tower,30-09-2026,Emirates NBD Bank (P.S.C.),1,effective,01-10-2024,Palm Deira,165,0,Palm Deira,
Licenses,FINISHED,Al Farjan (LLC),buildings,Glamz Residence,22-10-2020,First Abu Dhabi Bank PJSC,2,success,01-08-2016,Al Furjan,426,0,Jabal Ali First,
Licenses,FINISHED,Al Farjan (LLC),buildings,B.G. Oberhaus,30-06-2023,Commercial Bank of Dubai (P.S.C.),1,success,01-10-2021,Al Furjan,105,0,Jabal Ali First,
Dubai Development Authority,FINISHED,Majid Al Futtaim Integrated Cities Projects UAE LLC,villas,Harmony,30-06-2024,Abu Dhabi Commercial Bank,0,success,30-06-2021,TILAL AL GHAF,0,0,Al Hebiah Fourth,
Licenses,ACTIVE,Jumeirah Village (LLC),buildings,FH Residency,30-01-2026,Mashreq Bank (Public Joint Stock Company),1,effective,04-10-2023,Jumeirah Village Triangle,294,0,Al Barsha South Fifth,
Licenses,FINISHED,Nakheel Company (P.S.C.),villas,Muruj Al-Farjan 1,30-09-2024,Dubai Islamic Bank (Public Joint Stock Company),0,success,01-10-2021,Al Furjan,0,0,Jabal Ali First,
Dubai Development Authority,ACTIVE,Dubai Hills Estate LLC,buildings,IV Ellington House,,Emirates Islamic Bank Public Joint Stock Company,1,effective,05-10-2023,Dubai Hills Estate,110,0,Hadaeq Sheikh Mohammed Bin Rashid,
Dubai South,NOT_STARTED,Dubai Aviation City Corporation,Villa complex,Life 5,30-07-2028,Emirates NBD Bank (P.S.C.),0,under construction,30-03-2026,Dubai World Central,0,112,Madinat Al Mataar,
Dubai Development Authority,NOT_STARTED,Dubai Land Residences (LLC),buildings,Floria or foundations,30-12-2028,Mashreq Bank (Public Joint Stock Company),1,under construction,30-07-2025,Dubai Land Residence Complex,257,0,Wadi Al Safa 5,
Licenses,FINISHED,Al Farjan (LLC),Villa complex,Al Buruj Residence,24-11-2019,Emirates NBD Bank (P.S.C.),0,success,02-06-2017,Al Furjan,0,9,Jabal Ali First,
Licenses,PENDING,Jumeirah Village (LLC),buildings,Eco Fusion Tower,15-10-2025,First Abu Dhabi Bank PJSC,0,Under registration,01-08-2023,Jumeirah Village Circle,0,0,Al Barsha South Fourth,
Dubai Development Authority,FINISHED,Marsa Al Arab LLC,villas,Marsa Al Arab Villas,30-12-2022,Emirates NBD Bank (P.S.C.),0,success,24-06-2019,,0,0,Um Suqaim Third,
Licenses,FINISHED,Jumeirah Golf Estates LLC,villas,Orange Lake,01-02-2016,Emirates NBD Bank (P.S.C.),0,success,17-03-2009,Jumeirah Golf Estates,0,0,Me'Aisem First,
Dubai Development Authority,FINISHED,Marsa Al Arab Residences LLC,buildings,Jumeirah Living Marsa Al Arab,30-11-2022,Emirates Islamic Bank Public Joint Stock Company,2,success,21-01-2019,,31,0,Um Suqaim Third,
Dubai Municipality,ACTIVE,Emaar Properties (P.S.C.),buildings,Marina Shores,31-12-2026,Abu Dhabi Commercial Bank,1,effective,18-12-2022,Dubai Marina,447,0,Marsa Dubai,
Dubai Municipality,ACTIVE,Midan Group (LLC),buildings,Dear Rivera Reef,05-02-2025,Abu Dhabi Commercial Bank,4,effective,01-07-2022,Meydan One Community,455,0,Al Merkadh,
Dubai Development Authority,FINISHED,Business Bay (LLC),buildings,SLS Dubai,17-01-2021,Abu Dhabi Commercial Bank,1,success,01-12-2015,Business Bay,894,0,Business Bay,
Dubai South,NOT_STARTED,Dubai Aviation City Corporation,buildings,Oasis Residences,01-07-2027,Emirates Islamic Bank Public Joint Stock Company,1,under construction,01-07-2025,Dubai South Residential District,159,0,Madinat Al Mataar,
Licenses,NOT_STARTED,Mina Rashid Real Estate LLC,buildings,Pier Point 2,31-10-2028,Emirates NBD Bank (P.S.C.),1,under construction,22-02-2025,Mina Rashid,121,0,Madinat Dubai Almelaheyah,
Dubai Development Authority,FINISHED,Nashama for Development LLC,buildings,Town Square Net,09-02-2019,Dubai Islamic Bank (Public Joint Stock Company),4,success,01-08-2015,TOWN SQUARE,587,0,Al Yelayiss 2,
Dubai Development Authority,ACTIVE,Dubai Land Residences (LLC),buildings,Time 2,01-06-2026,Emirates Islamic Bank Public Joint Stock Company,1,effective,01-01-2023,Dubai Land Residence Complex,304,0,Wadi Al Safa 5,
Dubai Development Authority,FINISHED,Dubai Properties (LLC),buildings,Subha Al-Aji - II,30-12-2010,Dubai Islamic Bank (Public Joint Stock Company),1,success,25-07-2007,Business Bay,92,0,Business Bay,
Dubai Development Authority,FINISHED,Emaar Properties (P.S.C.),villas,Arabian Ranches - Rosa,15-10-2016,Dubai Islamic Bank (Public Joint Stock Company),0,success,01-12-2014,Arabian Ranches II - ROSA,0,0,Wadi Al Safa 7,
Dubai Development Authority,FINISHED,Dubai Sports City (LLC),buildings,Elite 5 Sports Residence,07-03-2014,Mashreq Bank (Public Joint Stock Company),1,success,25-09-2008,Dubai Sports City,354,0,Al Hebiah Fourth,
Dubai Municipality,FINISHED,Midan Group (LLC),buildings,"Mohammed Bin Rashid Al Maktoum City, District 1, Phase 3, Residences 18",30-12-2022,Dubai Islamic Bank (Public Joint Stock Company),1,success,01-06-2021,Mohammed Bin Rashid AL Maktoum City -District -1 Community,31,0,Al Merkadh,
Dubai Development Authority,FINISHED,Dubai Hills Estate LLC,villas,Golf Place,28-02-2023,First Abu Dhabi Bank PJSC,0,success,12-01-2018,DUBAI HILLS - GOLF PLACE,0,0,Hadaeq Sheikh Mohammed Bin Rashid,
Dubai Silicon Oasis Authority,FINISHED,Dubai Integrated Economic Zones Authority,buildings,Palacio,03-12-2009,Emirates NBD Bank (P.S.C.),2,success,04-12-2007,Silicon Oasis,0,0,Nadd Hessa,
Dubai Development Authority,ACTIVE,Dubai Land (LLC),Villa complex,Janan from Dar 2,,First Abu Dhabi Bank PJSC,0,effective,30-04-2024,,0,474,Wadi Al Safa 5,
Dubai Municipality,ACTIVE,Emaar Properties (P.S.C.),buildings,torrent,30-04-2025,Abu Dhabi Islamic Bank,1,effective,01-11-2016,Dubai Marina,1019,0,Marsa Dubai,
Licenses,FINISHED,Jumeirah Village (LLC),buildings,Benghatti Tulip,,Sharjah Islamic Bank,1,success,25-10-2023,Jumeirah Village Circle,279,0,Al Barsha South Fourth,
Licenses,NOT_STARTED,Al Nakheelah - Deera (LLC),buildings,Esme' Beach Residences,01-04-2027,Abu Dhabi Commercial Bank,1,under construction,01-01-2025,Palm Deira,109,0,Palm Deira,
Dubai Municipality,NOT_STARTED,Midan Group (LLC),Villa complex,Silora Residences,30-04-2027,Emirates Islamic Bank Public Joint Stock Company,0,under construction,30-05-2025,Mohammed Bin Rashid AL Maktoum District 11,0,30,Wadi Al Safa 3,
Licenses,NOT_STARTED,Nakheel Company (P.S.C.),buildings,Ben Ghatti Ruby,28-02-2026,National Bank of Fujairah PJSC,1,under construction,01-01-2025,Jumeirah Village Circle,628,0,Al Barsha South Fourth,
Licenses,ACTIVE,Nakheel Company (P.S.C.),buildings,Palm Beach Towers-1,31-12-2026,Mashreq Bank (Public Joint Stock Company),2,effective,01-12-2022,Palm Jumeirah,284,0,Palm Jumeirah,
Dubai Development Authority,NOT_STARTED,Business Bay (LLC),buildings,Benghatti Sky Rise,31-12-2026,Dubai Islamic Bank (Public Joint Stock Company),4,under construction,15-10-2024,Business Bay,3333,0,Business Bay,
Licenses,FINISHED,Jumeirah Village (LLC),buildings,Regal,30-03-2021,Mashreq Bank (Public Joint Stock Company),1,success,25-12-2018,Jumeirah Village Circle,219,0,Al Barsha South Fourth,
Licenses,FINISHED,Nakheel Company (P.S.C.),villas,Muruj Al-Furjan West,24-09-2024,Dubai Islamic Bank (Public Joint Stock Company),0,success,30-11-2021,Al Furjan,0,0,Jabal Ali First,
Dubai Development Authority,FINISHED,Business Bay (LLC),buildings,Business Central Residence,05-02-2013,Abu Dhabi Commercial Bank,2,success,01-04-2010,Business Bay,228,0,Business Bay,
Dubai Development Authority,NOT_STARTED,Dubai Sports City (LLC),buildings,Aurelia Residence,30-03-2028,Abu Dhabi Islamic Bank,1,under construction,21-07-2025,Dubai Sports City,280,0,Al Hebiah Fourth,
Licenses,ACTIVE,Jumeirah Village (LLC),buildings,Belmont Residences,,Abu Dhabi Commercial Bank,1,effective,04-04-2023,Jumeirah Village Triangle,69,0,Al Barsha South Fifth,
Dubai Municipality,FINISHED,Midan Group (LLC),buildings,Dear Rivera 40,16-05-2024,Abu Dhabi Commercial Bank,1,success,12-12-2018,Meydan One Community,165,0,Al Merkadh,
Licenses,NOT_STARTED,Jumeirah Village (LLC),buildings,Silistara Residences,19-05-2028,Al Marriah Local Bank LLC,1,under construction,20-05-2025,Jumeirah Village Circle,121,0,Al Barsha South Fourth,
Dubai Development Authority,ACTIVE,Liwan (LLC),buildings,Kyoto from Euro24,,Zandbank (Public Shareholding Company),1,effective,20-06-2023,Arjan,708,0,Al Barshaa South Third,
Dubai Development Authority,FINISHED,Dubai Sports City (LLC),buildings,Red Residence,30-11-2015,Arab Bank for Investment and Foreign Trade (Public Shareholding Company),1,success,01-06-2009,Dubai Sports City,333,1,Al Hebiah Fourth,
Dubai Development Authority,FINISHED,Ramram LLC,buildings,Madison Residence,25-09-2013,Abu Dhabi Commercial Bank,2,success,01-04-2010,Majan,123,0,Wadi Al Safa 3,
Licenses,PENDING,International City (LLC),buildings,Sports View Residence 2 by Al Hilal Al Thahabi,31-01-2027,Emirates Islamic Bank Public Joint Stock Company,0,Under registration,01-08-2025,International City Phase 3,0,0,Warsan Fourth,
Dubai Development Authority,NOT_STARTED,"Nashama Real Estate, owned by Nashmi Development, a single-person company LLC.",buildings,Berkshire Park,30-06-2027,First Abu Dhabi Bank PJSC,1,under construction,04-03-2025,TOWN SQUARE,149,0,Al Yelayiss 2,
Dubai Development Authority,NOT_STARTED,Dubai Land Residences (LLC),buildings,Beverly Park,31-10-2027,Mashreq Bank (Public Joint Stock Company),1,under construction,31-10-2025,Dubai Land Residence Complex,159,0,Wadi Al Safa 5,
Dubai Development Authority,FINISHED,Front Line Investment Management LLC,villas,Damac Hills 2 - Amargo 2,29-01-2024,Abu Dhabi Commercial Bank,0,success,01-05-2022,DAMAC HILLS 2,0,0,Madinat Hind 4,
Licenses,NOT_STARTED,Nakheel Company (P.S.C.),buildings,Dear Amir,17-06-2027,Ajman Bank PJSC,1,under construction,17-06-2025,Al Furjan,104,0,Jabal Ali First,
Dubai South,NOT_STARTED,Dubai Aviation City Corporation,buildings,South Square,30-06-2028,Commercial Bank of Dubai (P.S.C.),4,under construction,30-10-2025,Dubai World Central,571,0,Madinat Al Mataar,
Dubai Development Authority,ACTIVE,Dubai Land Residences (LLC),buildings,Dalmore Tower,23-04-2026,Mashreq Bank (Public Joint Stock Company),1,effective,24-10-2024,Dubai Land Residence Complex,120,0,Wadi Al Safa 5,
Dubai Development Authority,ACTIVE,Business Bay (LLC),buildings,Eva Dubai,01-04-2026,Emirates NBD Bank (P.S.C.),1,effective,31-10-2023,Business Bay,53,0,Business Bay,
Dubai Municipality,NOT_STARTED,Dubai Land (LLC),buildings,Mirdif Hills - Asayel Avenue,05-05-2027,Abu Dhabi Commercial Bank,1,under construction,05-05-2025,,193,0,Mirdif,
Dubai Development Authority,FINISHED,Ramram LLC,buildings,Q Point Liwan -PLOT R047,21-04-2014,Mashreq Bank (Public Joint Stock Company),1,success,24-02-2009,Liwan1,96,0,Wadi Al Safa 2,
Dubai Silicon Oasis Authority,ACTIVE,Dubai Integrated Economic Zones Authority,buildings,Altia One,22-09-2025,Mashreq Bank (Public Joint Stock Company),1,effective,23-10-2023,Silicon Oasis,123,0,Nadd Hessa,
Dubai Development Authority,ACTIVE,Union Properties (Public Joint Stock Company),buildings,Takaya,31-12-2027,Dubai Islamic Bank (Public Joint Stock Company),4,effective,15-07-2024,Motor City,822,0,Al Hebiah First,
Dubai Development Authority,ACTIVE,DHAM Free Zone LLC,buildings,Baltemore Safouh,29-01-2026,Emirates Islamic Bank Public Joint Stock Company,1,effective,01-06-2022,Sufouh Gardens,477,0,Al Safouh First,
Dubai Development Authority,FINISHED,Dubai Properties (LLC),Villa complex,Larosa Phase Two,31-10-2023,Commercial Bank of Dubai (P.S.C.),0,success,21-11-2019,,0,276,Wadi Al Safa 5,
Licenses,NOT_STARTED,Al Farjan (LLC),buildings,Lee Clee by Maya Developers,14-01-2027,Abu Dhabi Islamic Bank,1,under construction,15-01-2025,Al Furjan,58,0,Jabal Ali First,
Dubai Municipality,FINISHED,Midan Group (LLC),buildings,Dear Park Avenue,18-01-2024,Abu Dhabi Commercial Bank,1,success,01-02-2018,Meydan Racecourse Community,124,0,Nad Al Shiba First,
Dubai Development Authority,FINISHED,Emaar Properties (P.S.C.),villas,Alma-2,13-02-2013,Mashreq Bank (Public Joint Stock Company),0,success,01-09-2012,,0,62,Wadi Al Safa 6,
Dubai Development Authority,FINISHED,Emaar Properties (P.S.C.),villas,Arabian Ranches - Samara Community,01-10-2017,Mashreq Bank (Public Joint Stock Company),2,success,01-05-2013,Arabian Ranches II - SAMARA,0,0,Wadi Al Safa 7,
Dubai Municipality,ACTIVE,Dubai Investments Park Development Company (LLC),Villa complex,Verdana (Phase 1),31-12-2025,Arab Bank for Investment and Foreign Trade (Public Shareholding Company),0,effective,01-07-2022,Dubai Investment Park First,0,178,Dubai Investment Park First,
Dubai South,FINISHED,Emaar Dubai South DWC LLC,Villa complex,Parkside,31-12-2021,Dubai Islamic Bank (Public Joint Stock Company),0,success,19-12-2018,Dubai World Central,0,371,Madinat Al Mataar,
Dubai South,NOT_STARTED,Dubai Aviation City Corporation,buildings,Promise - Cascades 1,31-10-2028,National Bank of Fujairah PJSC,1,under construction,01-11-2025,Dubai World Central,249,0,Madinat Al Mataar,
Licenses,FINISHED,Nakheel Company (P.S.C.),buildings,Maya Residences 5,15-10-2024,Commercial Bank of Dubai (P.S.C.),1,success,15-10-2022,Jumeirah Village Triangle,59,0,Al Barsha South Fifth,
Dubai Municipality,FINISHED,Midan Group (LLC),buildings,"Mohammed Bin Rashid Al Maktoum City, District 1, Phase 3, Residences 11",30-12-2023,Dubai Islamic Bank (Public Joint Stock Company),1,success,15-03-2021,Mohammed Bin Rashid AL Maktoum City -District -1 Community,130,0,Al Merkadh,
Dubai Municipality,FINISHED,Dubai Multi Commodities Centre,buildings,Banyan Tree Residences Hillside Dubai,15-05-2020,Bank of Sharjah,1,success,15-11-2016,Jumeirah Lakes Towers,236,0,Al Thanyah Fifth,
Licenses,NOT_STARTED,JGI Real Estate LLC,villas,Pinewood Estate Homes,17-11-2028,Emirates NBD Bank (P.S.C.),0,under construction,18-03-2026,Jumeirah Golf Estates - Phase B,0,0,Me'Aisem First,
Licenses,FINISHED,Jumeirah Village (LLC),Villa complex,Al Buruj Residence 1,26-11-2017,Emirates NBD Bank (P.S.C.),0,success,01-06-2016,Jumeirah Village Triangle,0,8,Al Barsha South Fifth,
Dubai Development Authority,ACTIVE,TECOM Investments Free Zone LLC,Villa complex,Sahara Living,30-06-2013,Mashreq Bank (Public Joint Stock Company),0,effective,28-03-2009,,0,84,Saih Shuaib 2,
Dubai Development Authority,NOT_STARTED,Dubai Land Residences (LLC),buildings,Milos of Karma,01-04-2027,First Abu Dhabi Bank PJSC,1,under construction,01-08-2024,Dubai Land Residence Complex,195,0,Wadi Al Safa 5,
Licenses,FINISHED,Jumeirah Village (LLC),buildings,Joya Verde Residence Dubai,21-01-2019,Ajman Bank PJSC,1,success,02-09-2016,Jumeirah Village Circle,110,0,Al Barsha South Fourth,
Dubai Development Authority,ACTIVE,Liwan (LLC),buildings,Samana Prairie Lagoons,31-03-2028,National Bank of Fujairah PJSC,1,effective,01-04-2025,Majan,601,0,Wadi Al Safa 3,
Dubai Development Authority,FINISHED,Tanmiyat Global Real Estate Development LLC,Villa complex,Maya Luxury Collection,02-03-2025,Emirates NBD Bank (P.S.C.),0,success,15-11-2023,Living Legends,0,9,Wadi Al Safa 3,
Licenses,NOT_STARTED,Jumeirah Village (LLC),buildings,Vida by OM1 Real Estate Development,30-04-2028,Arab United Bank,1,under construction,01-04-2025,Jumeirah Village Circle,69,0,Al Barsha South Fourth,
Dubai Development Authority,ACTIVE,Liwan (LLC),buildings,Arbor View,,Abu Dhabi Commercial Bank,1,effective,05-10-2023,Arjan,171,0,Al Barshaa South Third,
Dubai Development Authority,PENDING,Dubai Land (LLC),Villa complex,Prairie Exora Villas,,Commercial Bank of Dubai (P.S.C.),0,Under registration,01-06-2023,,0,0,Wadi Al Safa 3,
Dubai Municipality,ACTIVE,Damac CSL Investments LLC,buildings,Volta Tower,,Emirates NBD Bank (P.S.C.),1,effective,13-12-2023,,414,0,Burj Khalifa,
Dubai Development Authority,FINISHED,Emaar Development (Public Shareholding Company),Villa complex,The Valley - Urania,31-12-2025,Commercial Bank of Dubai (P.S.C.),0,success,22-09-2022,,0,308,Al Yufrah 1,
Dubai Development Authority,ACTIVE,Al Jazeera Real Estate Oasis (LLC),buildings,Damac Lagoons - Lagoon Views 10,31-03-2027,First Abu Dhabi Bank PJSC,2,effective,21-08-2024,,108,0,Al Hebiah Fifth,
Licenses,FINISHED,Palm Jumeirah Company (LLC),buildings,Emerald Palace Kempinski Hotel,15-05-2019,#VALUE!,1,success,25-09-2013,Palm Jumeirah,387,0,Palm Jumeirah,
Dubai Municipality,ACTIVE,Midan Group (LLC),villas,"Mohammed Bin Rashid Al Maktoum City, District 1 West - Phase 2",19-11-2027,Dubai Islamic Bank (Public Joint Stock Company),0,effective,20-11-2024,,0,0,Ghadeer Al tair,
Dubai Municipality,FINISHED,Shoba LLC,buildings,Gemini is wonderful,07-10-2018,Dubai Islamic Bank (Public Joint Stock Company),1,success,20-01-2016,SOBHA HARTLAND,140,0,Al Merkadh,
Dubai Development Authority,FINISHED,Damac Crescent Properties (LLC),villas,Damac Hills - The Trump Estates 2,28-06-2022,Abu Dhabi Commercial Bank,0,success,02-09-2016,DAMAC HILLS,0,0,Al Hebiah Third,
Dubai Municipality,NOT_STARTED,Damac Miri Investments LLC,buildings,Damac Riverside Views - Marine 3,31-05-2028,First Abu Dhabi Bank PJSC,1,under construction,29-01-2025,,276,0,Dubai Investment Park Second,
Dubai Development Authority,FINISHED,Dubai Land (LLC),buildings,Seventh Haven,08-09-2020,Commercial Bank of Dubai (P.S.C.),1,success,01-06-2014,,223,0,Wadi Al Safa 3,
Dubai Development Authority,ACTIVE,Dubai Properties (LLC),buildings,Nas3,01-02-2026,Emirates Islamic Bank Public Joint Stock Company,1,effective,01-10-2023,Arjan,288,0,Al Barshaa South Third,
Dubai Municipality,FINISHED,Midan Group (LLC),buildings,"Mohammed Bin Rashid Al Maktoum City, District 1, Phase 3, Residences 21",30-12-2022,Dubai Islamic Bank (Public Joint Stock Company),1,success,01-06-2021,Mohammed Bin Rashid AL Maktoum City -District -1 Community,31,0,Al Merkadh,
Dubai Development Authority,FINISHED,Al-Aryam Phase Two LLC,Villa complex,Reem - Mira Oweis,19-01-2020,Dubai Islamic Bank (Public Joint Stock Company),0,success,01-06-2016,,0,483,Al Yelayiss 1,
Dubai Development Authority,ACTIVE,Liwan (LLC),buildings,II The Heaven,31-12-2026,Dubai Islamic Bank (Public Joint Stock Company),1,effective,01-08-2024,Majan,216,0,Wadi Al Safa 3,
Licenses,ACTIVE,Nakheel Company (P.S.C.),buildings,Edgewater Residences 2,31-08-2026,Abu Dhabi Commercial Bank,1,effective,30-06-2024,Palm Deira,97,0,Palm Deira,
Dubai Municipality,NOT_STARTED,Midan Group (LLC),Villa complex,Knightsbridge Park 2,15-11-2027,Emirates NBD Bank (P.S.C.),0,under construction,15-04-2025,Mohammed Bin Rashid AL Maktoum District 11,0,46,Wadi Al Safa 3,
Dubai Development Authority,FINISHED,Dubai Sports City (LLC),buildings,Bermuda vis,27-09-2015,Dubai Islamic Bank (Public Joint Stock Company),1,success,01-01-2010,Dubai Sports City,236,0,Al Hebiah Fourth,
Licenses,ACTIVE,International City (LLC),buildings,Zenith Residences,01-03-2028,Mashreq Bank (Public Joint Stock Company),1,effective,01-03-2025,International City Phase 3,267,0,Warsan Fourth,
Dubai Development Authority,ACTIVE,Majid Al Futtaim Integrated Cities Projects UAE LLC,villas,Elysian Mansions,31-03-2025,Emirates NBD Bank (P.S.C.),0,effective,01-09-2018,TILAL AL GHAF,0,0,Al Hebiah Fourth,
Licenses,CONDITIONAL_ACTIVATING,Jumeirah Village (LLC),buildings,Alice Heights,14-04-2026,Abu Dhabi Commercial Bank,1,Conditional activation,15-04-2023,Jumeirah Village Circle,193,0,Al Barsha South Fourth,
Licenses,FINISHED,Jumeirah Village (LLC),buildings,Villa Park 6,30-06-2017,Emirates Islamic Bank Public Joint Stock Company,0,success,01-05-2015,Jumeirah Village Circle,0,13,Al Barsha South Fourth,
Licenses,FINISHED,Jumeirah Village (LLC),buildings,Benghatti Emerald,28-02-2024,Sharjah Islamic Bank,1,success,15-12-2022,Jumeirah Village Circle,328,0,Al Barsha South Fourth,
Licenses,ACTIVE,Nakheel Company (P.S.C.),villas,P Palm Jebel Ali - The Palm,29-09-2027,Emirates NBD Bank (P.S.C.),0,effective,13-09-2023,Palm Jabal Ali,0,0,Palm Jabal Ali,
Dubai Development Authority,FINISHED,Maras Real Estate (LLC),Villa complex,MAG 22,15-01-2025,Abu Dhabi Commercial Bank,0,success,01-07-2023,Nad Al Sheba Gardens,0,22,Nad Al Shiba First,
Dubai Development Authority,FINISHED,Dubai Hills Estate LLC,villas,Sidra,26-06-2019,First Abu Dhabi Bank PJSC,0,success,11-10-2016,DUBAI HILLS - SIDRA 1,0,461,Hadaeq Sheikh Mohammed Bin Rashid,
